,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
AOI CN,2015-02-12,2015-02-13,2015-02-12,2015-02-13,AOI CN,Africa Oil Corp,125.024,57.0,2.74,"ADDL,Primary Share Offering,Best Efforts,Private Placement,QIP",0.0,-9.124088287,-10.94890499,760.081,1.294693766249831,"Pareto Securities, Eight Capital"
CR CN,2015-02-09,2015-02-09,2015-02-09,2015-02-09,CR CN,Crew Energy Inc,80.2262,16.667,6.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-4.166666508,-5.166666508,631.7404,8.10008566974016,GMP Securities
HBC CN,2015-01-22,2015-01-22,2015-01-22,2015-01-22,HBC CN,Hudson's Bay Co,93.3893,4.26,23.6,"ADDL,Secondary Share Offering,Bought Deal",0.0,-0.5084761977,1.652540684,3589.047,8.260373584388654,RBC Capital Markets
DGC CN,2015-01-21,2015-01-21,2015-01-21,2015-01-21,DGC CN,Detour Gold Corp,130.95,11.0,12.8,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP,Rule 144A",1765.57,-9.609375954,-10.15625095,1765.57,31.359467832598376,BMO Capital Markets
1457122D CN,2015-01-21,2015-01-21,2015-01-21,2015-01-21,1457122D CN,Romarco Minerals Inc,242.648,517.3,0.58,"ADDL,Primary Share Offering,Bought Deal",582.87,2.877465704e-06,2.877465704e-06,582.87,3.212300513449874,"Cormark Securities Inc, BMO Capital Markets"
RRX CN,2015-01-14,2015-01-14,2015-01-14,2015-01-14,RRX CN,Raging River Exploration Inc,73.7906,12.0,6.4,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",1027.77,24.37499809,25.15624809,1027.77,12.521709615837658,"Peters & Co Ltd, GMP Securities"
YRI CN,2015-01-12,2015-01-12,2015-01-12,2015-01-12,YRI CN,Yamana Gold Inc,250.703,49.1,5.3,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.9433997869,3.962260485,4190.977,25.01949151242148,"National Bank Financial Inc, Canaccord Genuity"
ARX CN,2015-01-07,2015-01-07,2015-01-07,2015-01-07,ARX CN,ARC Resources Ltd,339.791,15.53,22.55,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.04434251785,2.394681931,6279.0926,43.807856743722155,RBC Capital Markets
PVG CN,2014-12-11,2014-12-11,2014-12-11,2014-12-11,PVG CN,Pretium Resources Inc,70.1403,12.8368,6.3,"ADDL,Primary Share Offering,Best Efforts,Private Placement",0.0,36.50793076,38.41269302,708.2639,3.373634983123818,
GUD CN,2014-12-03,2014-12-03,2014-12-03,2014-12-03,GUD CN,Knight Therapeutics Inc,87.9534,12.8828,6.75,"ADDL,Primary Share Offering,Bought Deal",550.606,1.037037015,2.222222328,550.606,1.8985845502205263,GMP Securities
AQN CN,2014-12-02,2014-12-02,2014-12-02,2014-12-02,AQN CN,Algonquin Power & Utilities Co,87.7992,10.055,9.95,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",0.0,-4.723616123,-6.130651474,1990.8491,6.83629809145623,"CIBC, Scotiabank"
DH CN,2014-11-12,2014-11-12,2014-11-12,2014-11-12,DH CN,DH Corp,178.25,4.83,36.25,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",2772.62,0.02758620679,0.4965517223,2772.62,9.826732811399326,"TD Securities, CIBC"
PONY CN,2014-11-12,2014-11-12,2014-11-12,2014-11-12,PONY CN,Painted Pony Energy Ltd,56.0386,4.587,12.0,"ADDL,Primary Share Offering,Bought Deal",1055.75,-23.16666603,-21.75,1055.75,9.31377483954153,Cormark Securities Inc
AGT CN,2014-10-22,2014-10-22,2014-10-22,2014-10-22,AGT CN,AGT Food & Ingredients Inc,71.3926,2.858,28.0,"ADDL,Primary Share Offering,Bought Deal",575.962,-2.178571463,-1.428571463,575.962,3.5524075195067497,"GMP Securities, Cormark Securities Inc"
SCL CN,2014-09-10,2014-09-10,2014-09-10,2014-09-10,SCL CN,ShawCor Ltd,210.124,3.65,54.85,"ADDL,Primary Share Offering,Bought Deal",0.0,-2.096624374,-2.461255312,3073.7939,13.340931371824436,TD Securities
PSK CN,2014-09-08,2014-09-08,2014-09-08,2014-09-08,PSK CN,PrairieSky Royalty Ltd,2337.65,70.2,36.5,"ADDL,Secondary Share Offering,Bought Deal",0.0,-4.136986256,-4.1095891,4517.5623,6.065970741180242,"TD Securities, RBC Capital Markets, CIBC, BMO Capital Markets"
AQN CN,2014-09-04,2014-09-04,2014-09-04,2014-09-04,AQN CN,Algonquin Power & Utilities Co,158.765,16.86,8.9,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.6741530299,-0.5617935061,1726.2713,4.394635618754207,"TD Securities, CIBC"
CPG CN,2014-09-02,2014-09-02,2014-09-02,2014-09-02,CPG CN,Crescent Point Energy Corp,732.539,17.29,43.4,"ADDL,Secondary Share Offering,Bought Deal",0.0,-7.534565449,-7.926270485,17271.1007,61.869224880464124,"Scotiabank, BMO Capital Markets"
CJ CN,2014-09-02,2014-09-02,2014-09-02,2014-09-02,CJ CN,Cardinal Energy Ltd,180.828,10.0,19.75,"ADDL,Primary Share Offering,Bought Deal",0.0,-8.658227921,-4.607594967,869.0563,7.1704270908566095,"RBC Capital Markets, CIBC"
WEF CN,2014-08-20,2014-08-20,2014-08-20,2014-08-20,WEF CN,Western Forest Products Inc,210.103,80.0,2.5,"ADDL,Secondary Share Offering,Bought Deal",0.0,4.800000191,-1.600000024,924.3867,5.891427899538503,"CIBC, Scotiabank"
ALA CN,2014-08-19,2014-08-19,2014-08-19,2014-08-19,ALA CN,AltaGas Ltd,420.651,7.85,51.0,"ADDL,Primary Share Offering,Bought Deal",0.0,1.098039269,3.117647171,5974.9988,15.224381967060996,"BMO Capital Markets, RBC Capital Markets, TD Securities"
FNV CN,2014-08-13,2014-08-13,2014-08-13,2014-08-13,FNV CN,Franco-Nevada Corp,500.406,8.375,59.75,"ADDL,Primary Share Offering,Bought Deal",0.0,-6.856025696,-6.458432198,8948.9105,42.72057035135651,"BMO Capital Markets, CIBC, RBC Capital Markets"
CJ CN,2014-07-31,2014-07-31,2014-07-31,2014-07-31,CJ CN,Cardinal Energy Ltd,149.44,8.0,18.5,"ADDL,Primary Share Offering,Bought Deal",0.0,1.621621609,3.243243217,676.0033,4.243997198961639,"RBC Capital Markets, CIBC"
PVG CN,2014-07-21,2014-07-22,2014-07-21,2014-07-22,PVG CN,Pretium Resources Inc,69.0345,8.28,7.25,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",843.41,-1.699230671,-3.343902349,843.41,4.187248945244453,Scotiabank
SII CN,2014-06-30,2014-06-30,2014-06-30,2014-06-30,SII CN,Sprott Inc,64.6915,20.0,3.0,"ADDL,Secondary Share Offering,Bought Deal",0.0,-3.0,-3.666666746,705.4574,1.0733343875966124,"Scotiabank, TD Securities"
POU CN,2014-06-26,2014-06-26,2014-06-26,2014-06-26,POU CN,Paramount Resources Ltd,258.161,4.6,60.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-3.883333445,-4.683333397,5608.6219,13.115097061058432,BMO Capital Markets
POU CN,2014-06-26,2014-06-26,2014-06-26,2014-06-26,POU CN,Paramount Resources Ltd,62.6321,0.9,74.4,"ADDL,Primary Share Offering",0.0,-22.48656082,-23.1317215,5608.6219,13.115097061058432,BMO Capital Markets
CEU CN,2014-06-26,2014-06-26,2014-06-26,2014-06-26,CEU CN,CES Energy Solutions Corp,70.3635,2.15,32.65,"ADDL,Primary Share Offering",2139.53,-6.217462063,-4.379790306,2139.53,11.093651561674607,Scotiabank
MAG CN,2014-06-26,2014-06-26,2014-06-26,2014-06-26,MAG CN,MAG Silver Corp,80.7076,7.32,10.25,"ADDL,Primary Share Offering,Bought Deal",657.974,-7.317073345,-2.146341562,657.974,2.89533031453045,"Raymond James & Associates, BMO Capital Markets"
ACQ CN,2014-06-25,2014-06-25,2014-06-25,2014-06-25,ACQ CN,AutoCanada Inc,375.597,4.49,78.0,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",1775.44,-7.038461685,-4.0,1775.44,17.447082436803754,"Scotiabank, RBC Capital Markets"
FRU CN,2014-06-25,2014-06-25,2014-06-25,2014-06-25,FRU CN,Freehold Royalties Ltd,122.923,4.65,26.9,"ADDL,Primary Share Offering,Bought Deal",1855.83,-2.936801672,-2.750927925,1855.83,4.102929070394419,CIBC
DSG CN,2014-06-24,2014-06-26,2014-06-24,2014-06-26,DSG CN,Descartes Systems Group Inc/Th,147.488,9.5,13.5,"ADDL,Primary Share Offering",0.0,6.720723629,5.048858643,905.2571,2.65342295297265,"Barclays, GMP Securities, Morgan Stanley"
ENB CN,2014-06-18,2014-06-18,2014-06-18,2014-06-18,ENB CN,Enbridge Inc,423.222,7.86,50.9,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",0.0,-0.4911621213,-0.530454874,39456.3159,115.3215798810312,"Credit Suisse, RBC Capital Markets"
BNP CN,2014-06-18,2014-06-18,2014-06-18,2014-06-18,BNP CN,Bonavista Energy Corp,184.767,12.1,16.6,"ADDL,Primary Share Offering,Bought Deal",0.0,-8.433736801,-10.54217052,3155.2233,12.075289861322235,CIBC
CIX CN,2014-05-28,2014-05-28,2014-05-28,2014-05-28,CIX CN,CI Financial Corp,2405.74,72.0,31.6,"ADDL,Secondary Share Offering,Bought Deal",0.0,9.936707497,10.47468185,8820.8861,17.712628205949105,"Scotiabank, GMP Securities, RBC Capital Markets"
BXE CN,2014-05-27,2014-05-27,2014-05-27,2014-05-27,BXE CN,Bellatrix Exploration Ltd,158.785,15.8,9.5,"ADDL,Primary Share Offering,Bought Deal",0.0,1.578947425,-0.1052631587,1622.5666,30.22201765940107,"Eight Capital, Canaccord Genuity"
SPE CN,2014-05-27,2014-05-27,2014-05-27,2014-05-27,SPE CN,Spartan Energy Corp,137.535,34.67,3.75,"ADDL,Primary Share Offering,Bought Deal",901.104,11.46666622,13.60000038,901.104,14.354559841511422,Peters & Co Ltd
KEY CN,2014-05-20,2014-05-20,2014-05-20,2014-05-20,KEY CN,Keyera Corp,291.813,3.75,73.75,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.0677966103,-0.4338982999,5494.1362,12.028108814584929,RBC Capital Markets
TOU CN,2014-05-14,2014-05-14,2014-05-14,2014-05-14,TOU CN,Tourmaline Oil Corp,62.6436,1.0,68.15,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,-20.76302528,-20.02934837,9977.1986,33.73848650593331,Peters & Co Ltd
MNW CN,2014-05-13,2014-05-13,2014-05-13,2014-05-13,MNW CN,Corp Mitel Networks,86.5117,7.4,12.3,"ADDL,Secondary Share Offering,Bought Deal",0.0,-2.032521963,-1.544716954,1157.2238,1.5267970064120837,"Cormark Securities Inc, CIBC"
HBC CN,2014-05-12,2014-05-12,2014-05-12,2014-05-12,HBC CN,Hudson's Bay Co,128.649,7.87,17.8,"ADDL,Secondary Share Offering,Bought Deal",0.0,-2.584265471,-3.089883566,3025.2448,8.720888215496865,"Bank of America Merrill Lynch, BMO Capital Markets, RBC Capital Markets, TD Securities, CIBC"
CNE CN,2014-05-06,2014-05-06,2014-05-06,2014-05-06,CNE CN,Canacol Energy Ltd,132.027,15.823,7.9,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",796.097,-5.0632925029999996,-7.215190887,796.097,6.1431827947690225,Canaccord Genuity
GXO CN,2014-05-05,2014-05-05,2014-05-05,2014-05-05,GXO CN,Granite Oil Corp,57.8877,5.41,11.1,"ADDL,Primary Share Offering,Bought Deal",896.87,-3.873877287,-5.135138512,896.87,8.673969406401996,"Macquarie, Cormark Securities Inc"
LRE CN,2014-04-30,2014-04-30,2014-04-30,2014-04-30,LRE CN,Long Run Exploration Ltd,61.8284,12.6546,5.35,"ADDL,Secondary Share Offering,Bought Deal",539.16,3.177572012,5.607478619,539.16,7.405423651517754,"Macquarie, National Bank Financial Inc"
DRM CN,2014-04-08,2014-04-08,2014-04-08,2014-04-08,DRM CN,DREAM Unlimited Corp,52.8987,3.2,15.7,"ADDL,Primary Share Offering,Bought Deal",0.0,-4.140126228,-4.585986137,1135.7495,1.6232450085786034,TD Securities
VSN CN,2014-03-25,2014-03-25,2014-03-25,2014-03-25,VSN CN,Veresen Inc,254.744,15.0,16.5,"ADDL,Primary Share Offering,Bought Deal",0.0,1.515151501,1.030303001,3040.2662,15.639347547764872,"Scotiabank, CIBC, TD Securities"
AVO CN,2014-03-21,2014-03-21,2014-03-21,2014-03-21,AVO CN,Avigilon Corp,89.2943,3.4483,29.0,"ADDL,Primary Share Offering",0.0,-0.8620689511,-1.655172467,1148.3838,9.16412952775876,GMP Securities
IPL CN,2014-03-17,2014-03-17,2014-03-17,2014-03-17,IPL CN,Inter Pipeline Ltd,271.902,10.4,28.9,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.4152235985,0.1384096295,8080.2208,48.99308947373344,TD Securities
WSP CN,2014-03-12,2014-03-12,2014-03-12,2014-03-12,WSP CN,WSP Global Inc,186.275,5.333,33.75,"ADDL,Primary Share Offering,Bought Deal",1849.21,5.925925732,9.09629631,1849.21,3.110015249201809,"CIBC, Raymond James & Associates"
TKM CN,2014-03-10,2014-03-13,2014-03-10,2014-03-13,TKM CN,Arbutus Biopharma Corp,54.5657,2.125,28.5,"ADDL,Primary Share Offering",0.0,5.719298363,2.596491337,565.3399,2.7015037708045404,SVB Leerink LLC
KEL CN,2014-03-05,2014-03-05,2014-03-05,2014-03-05,KEL CN,Kelt Exploration Ltd,102.625,8.5,11.6,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,10.60344505,10.51723766,1228.8191,7.673358569105154,Peters & Co Ltd
P CN,2014-03-05,2014-03-05,2014-03-05,2014-03-05,P CN,Primero Mining Corp,202.994,31.1512,7.2,"ADDL,Secondary Share Offering,Bought Deal",0.0,6.944447041,8.472225189,754.7719,6.632828190252144,Canaccord Genuity
PXX CN,2014-02-25,2014-02-25,2014-02-25,2014-02-25,PXX CN,BlackPearl Resources Inc,70.7814,26.5,2.65,"ADDL,Primary Share Offering,Bought Deal",798.195,-2.641512871,-0.3773620725,798.195,1.3192048424496883,GMP Securities
NPI CN,2014-02-24,2014-02-24,2014-02-24,2014-02-24,NPI CN,Northland Power Inc,142.226,9.375,16.0,"ADDL,Primary Share Offering,Bought Deal",0.0,2.1875,2.0,1961.6847,4.821282573888265,"BMO Capital Markets, CIBC"
OPT CN,2014-02-24,2014-02-24,2014-02-24,2014-02-24,OPT CN,Optiva Inc,67.7261,12.8205,5.85,"ADDL,Primary Share Offering,Bought Deal",573.831,-9.230768204,-7.008545399,573.831,2.8454064819551306,
DGC CN,2014-02-18,2014-02-18,2014-02-18,2014-02-18,DGC CN,Detour Gold Corp,157.628,16.22,9.25,"ADDL,Primary Share Offering,Bought Deal",1325.11,7.135135174,6.702702522,1325.11,24.760108149996753,"RBC Capital Markets, BMO Capital Markets"
TOU CN,2014-01-21,2014-01-21,2014-01-21,2014-01-21,TOU CN,Tourmaline Oil Corp,199.216,4.0,47.5,"ADDL,Primary Share Offering,Bought Deal",8196.91,2.16842103,4.568420887,8196.91,25.2314288112721,Peters & Co Ltd
PEY CN,2014-01-16,2014-01-16,2014-01-16,2014-01-16,PEY CN,Peyto Exploration & Developmen,146.906,4.42,34.0,"ADDL,Primary Share Offering,Bought Deal",4776.9,-1.470588207,-0.1470588297,4776.9,13.081319493814972,BMO Capital Markets
CUS CN,2014-01-16,2014-01-16,2014-01-16,2014-01-16,CUS CN,Chemtrade Electrochem Inc,137.386,26.8,5.6,"ADDL,Primary Share Offering,Bought Deal",926.098,0.7142874002,5.535716057,926.098,7.2742157280253,"BMO Capital Markets, CIBC, Scotiabank, National Bank Financial Inc"
U CN,2014-01-16,2014-01-16,2014-01-16,2014-01-16,U CN,Uranium Participation Corp,52.6896,9.15,5.47,"ADDL,Primary Share Offering,Bought Deal",585.216,-1.828149796,-0.3656269014,585.216,3.087638680497957,Cormark Securities Inc
WEF CN,2014-01-14,2014-01-14,2014-01-14,2014-01-14,WEF CN,Western Forest Products Inc,83.2998,39.0506,1.98,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",0.0,18.68686676,14.64646339,744.0537,4.284727275868664,"CIBC, Scotiabank"
DOO CN,2014-01-13,2014-01-13,2014-01-13,2014-01-13,DOO CN,BRP Inc,276.141,8.7,30.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal",2218.06,-6.633333206,-7.733333111,2218.06,2.845079393946918,"Citi, RBC Capital Markets, UBS, BMO Capital Markets"
HBM CN,2014-01-09,2014-01-09,2014-01-09,2014-01-09,HBM CN,Hudbay Minerals Inc,159.16,18.2,8.25,"ADDL,Primary Share Offering,Bought Deal",0.0,8.606060982,7.151515007,1359.3065,5.629407983288188,"GMP Securities, BMO Capital Markets"
DHX CN,2013-12-12,2013-12-12,2013-12-12,2013-12-12,DHX CN,DHX Media Ltd,125.362,28.3638,4.7,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal",511.905,13.19149399,13.61702633,511.905,2.988218832241805,Canaccord Genuity
EMA CN,2013-12-10,2013-12-10,2013-12-10,2013-12-10,EMA CN,Emera Inc,235.502,7.8,28.85,"ADDL,Primary Share Offering,Bought Deal",0.0,6.065856457,6.308490753,3711.4382,12.909791735265992,"CIBC, RBC Capital Markets, TD Securities, Scotiabank"
EFN CN,2013-12-09,2013-12-09,2013-12-09,2013-12-09,EFN CN,Element Fleet Management Corp,432.547,29.1,13.75,"ADDL,Primary Share Offering,Bought Deal",0.0,2.618181705,1.454545498,2095.0398,13.937919403982693,
PTM CN,2013-12-09,2013-12-09,2013-12-09,2013-12-09,PTM CN,Platinum Group Metals Ltd,164.721,148.5,1.18,"ADDL,Primary Share Offering,Bought Deal",611.478,8.474580765,1.694919825,611.478,1.396449427030736,"GMP Securities, BMO Capital Markets"
MEG CN,2013-11-29,2013-11-29,2013-11-29,2013-11-29,MEG CN,MEG Energy Corp,147.751,5.0,31.4,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal",6574.97,-5.095540047,-5.509552956,6574.97,31.754361655595876,BMO Capital Markets
TDG CN,2013-11-26,2013-11-26,2013-11-26,2013-11-26,TDG CN,Trinidad Drilling Ltd,163.476,15.0,10.0,"ADDL,Primary Share Offering,Bought Deal",1308.95,-0.5,-2.099999905,1308.95,6.899294577908559,Raymond James & Associates
SES CN,2013-11-26,2013-11-26,2013-11-26,2013-11-26,SES CN,Secure Energy Services Inc,104.246,6.2314,15.35,"ADDL,Primary Share Offering,Bought Deal",1688.56,7.426707268,7.947880268,1688.56,6.332211097573468,"GMP Securities, Raymond James & Associates"
MBT CN,2013-11-19,2013-11-19,2013-11-19,2013-11-19,MBT CN,Manitoba Telecom Services Inc,237.497,8.855,28.1,"ADDL,Primary Share Offering,Bought Deal",2060.4,2.526689053,5.08896637,2060.4,14.885287224429824,"CIBC, Scotiabank"
AVO CN,2013-11-13,2013-11-13,2013-11-13,2013-11-13,AVO CN,Avigilon Corp,65.9835,2.4898,24.1,"ADDL,Primary Share Offering,Bought Deal",1045.24,27.80082703,29.41908455,1045.24,4.5458809779167915,"BMO Capital Markets, Cantor Fitzgerald, CIBC, National Bank Financial Inc, PI Financial Corp, RBC Capital Markets, GMP Securities"
NVA CN,2013-11-12,2013-11-12,2013-11-12,2013-11-12,NVA CN,NuVista Energy Ltd,74.4732,11.0,7.1,"ADDL,Primary Share Offering,Bought Deal",913.312,-0.7042239904,0.5633816123,913.312,4.517866716896249,Peters & Co Ltd
FFH CN,2013-11-06,2013-11-06,2013-11-06,2013-11-06,FFH CN,Fairfax Financial Holdings Ltd,413.469,1.0,431.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-1.15545249,-0.9559164643,8614.4853,18.96039345070336,"CIBC, BMO Capital Markets"
ABX CN,2013-10-31,2013-10-31,2013-10-31,2013-10-31,ABX CN,Barrick Gold Corp,3002.21,163.5,19.15,"ADDL,Primary Share Offering,Bought Deal",21300.2,-0.626629889,-1.305481076,21300.2,119.44766719087744,"Barclays, GMP Securities, RBC Capital Markets"
WCP CN,2013-10-30,2013-10-30,2013-10-30,2013-10-30,WCP CN,Whitecap Resources Inc,62.1631,5.417,12.0,"ADDL,Primary Share Offering,Bought Deal",1976.21,-2.583333254,-0.5833333135,1976.21,21.923895939028164,National Bank Financial Inc
RRX CN,2013-10-29,2013-10-29,2013-10-29,2013-10-29,RRX CN,Raging River Exploration Inc,74.8806,14.0,5.6,"ADDL,Primary Share Offering,Bought Deal",913.314,2.142858982,5.714287281,913.314,7.176713533653861,GMP Securities
AOI CN,2013-10-16,2013-10-16,2013-10-16,2013-10-16,AOI CN,Africa Oil Corp,450.796,56.5052,8.25,"ADDL,Primary Share Offering,Best Efforts,Private Placement,QIP",0.0,13.939394,14.060606,2054.8369,3.918306004505161,"Citi, Eight Capital, Pareto Securities"
BXE CN,2013-10-15,2013-10-15,2013-10-15,2013-10-15,BXE CN,Bellatrix Exploration Ltd,168.707,21.875,8.0,"ADDL,Primary Share Offering,Bought Deal",1013.4,-0.625,-1.5,1013.4,13.50171716249156,"Eight Capital, Canaccord Genuity"
CPX CN,2013-10-01,2013-10-01,2013-10-01,2013-10-01,CPX CN,Capital Power Corp,195.122,9.6,21.0,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal,Government Exit",0.0,-2.095238209,-0.7142857313,1480.2118,4.435229886681359,"CIBC, Scotiabank, RBC Capital Markets"
TET CN,2013-09-30,2013-09-30,2013-09-30,2013-09-30,TET CN,Paramount Resources TEC Ltd,194.318,0.0,28.5,"ADDL,Primary Share Offering,Bought Deal",2741.1,-0.7017543912,-0.4912280738,2741.1,9.5406170456495,BMO Capital Markets
