,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
GENL LN,2011-06-09,2011-06-17,2011-06-09,2011-06-17,GENL LN,Genel Energy Plc,2298.56,132.84,1000.0,"IPO,Primary Share Offering,SPAC",0.0,0.0,-1.0,"Credit Suisse, JP Morgan",Common,2128.18221
PRW LN,2010-02-15,2010-03-12,2010-02-15,2010-03-12,PRW LN,Promethean World PLC,290.844,0.0,200.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",0.0,5.0,-1.0,"Goldman Sachs, JP Morgan",Common,583.9399999999999
MSK IM,2013-01-11,2013-04-03,2013-01-11,2013-04-03,MSK IM,Moleskine SpA,326.822,106.36,2.3,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",625.201,2.073204996e-06,-0.8695631623,"Goldman Sachs, Mediobanca, UBS",Common,625.201
ARMS LN,2010-06-25,2010-07-09,2010-06-25,2010-07-09,ARMS LN,Asia Resource Minerals Ltd,1039.52,0.0,1000.0,"IPO,Primary Share Offering",0.0,0.0,-0.8500000238,"Credit Suisse, JP Morgan",Common,1038.9474770660402
PST IM,2015-08-11,2015-10-27,2015-08-11,2015-10-27,PST IM,Poste Italiane SpA,3429.61,453.0,6.75,"IPO,Secondary Share Offering,Best Efforts,Government Exit,REG S,Rule 144A",9711.97,2.962962866,-0.7407407165,"Intesa Sanpaolo, Bank of America Merrill Lynch, Citi, Credit Suisse, Goldman Sachs, JP Morgan, Mediobanca, Morgan Stanley, UBS, UniCredit",Common,9711.97
KGX GR,2013-06-03,2013-06-28,2013-06-03,2013-06-28,KGX GR,KION Group AG,549.902,17.23,24.0,"IPO,Primary Share Offering,PE Backed",3093.75,2.291666746,-0.7291666865,"Goldman Sachs, Kohlberg Kravis Roberts & Co, Deutsche Bank, Morgan Stanley",Common,3093.75
JLG LN,2015-01-19,2015-02-12,2015-01-19,2015-02-12,JLG LN,John Laing Group PLC,404.701,220.154,195.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",1128.19,2.56410265,-0.5128205419,"Barclays, HSBC",Common,1128.19
GCL IM,2017-11-27,2017-12-21,2017-11-27,2017-12-21,GCL IM,Guala Closures SpA,595.1,50.0,10.0,"IPO,Primary Share Offering,SPAC,Best Efforts,Sub Sector Flag,REG S",609.977,-0.200000003,-0.5,"Goldman Sachs, Banca Monte Dei Paschi di Siena SpA",Common,609.977
JUSH LN,2011-01-31,2011-02-14,2011-01-31,2011-02-14,JUSH LN,Justice Holdings Ltd,1442.97,0.0,1000.0,"IPO,Primary Share Offering,SPAC",0.0,0.1000000015,-0.5,"Barclays, Citi",Common,1435.4864999999998
PIRC IM,2017-04-28,2017-10-04,2017-04-28,2017-10-04,PIRC IM,Pirelli & C SpA,2613.93,350.0,6.5,"IPO,Secondary Share Offering,Best Efforts,REG S,Rule 144A",7816.95,-0.1538461596,-0.4615384638,"Intesa Sanpaolo, Bank of America Merrill Lynch, BNP Paribas, Goldman Sachs, HSBC, JP Morgan, Mediobanca, Morgan Stanley, UniCredit",Common,7816.95
GJF NO,2010-11-24,2010-12-10,2010-11-24,2010-12-10,GJF NO,Gjensidige Forsikring ASA,1856.26,0.0,59.0,"IPO,Secondary Share Offering",0.0,0.0,-0.4237288237,"Bank of America Merrill Lynch, Goldman Sachs",Common,4890.942390942391
INTER NA,2015-09-21,2015-10-15,2015-09-21,2015-10-15,INTER NA,Intertrust NV,550.945,33.669,15.5,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1507.88,0.0,-0.3225806355,"ABN Amro Bank NV, Deutsche Bank, JP Morgan, Morgan Stanley, UBS",Common,1507.88
IGY GR,2016-08-11,2016-10-07,2016-08-11,2016-10-07,IGY GR,Innogy SE,5178.97,101.01,36.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,REG S,Rule 144A",22322.0,3.611111164,-0.2222222239,"Bank of America Merrill Lynch, BNP Paribas, Credit Suisse, Deutsche Bank, Goldman Sachs, UBS",Common,22322.0
ACA LN,2010-02-19,2010-03-19,2010-02-19,2010-03-19,ACA LN,Acacia Mining PLC,949.493,0.0,575.0,"IPO,Primary Share Offering",0.0,-4.347826004,-0.08695652336,"JP Morgan, Morgan Stanley",Common,3519.300554194182
HIAG SW,2014-04-15,2014-05-16,2014-04-15,2014-05-16,HIAG SW,Hiag Immobilien Holding AG,227.222,2.5475,76.0,"IPO,Primary Share Offering,Secondary Share Offering",682.152,0.0,-0.06578947604,Credit Suisse,Common,682.152
DNA FH,2016-10-26,2016-11-30,2016-10-26,2016-11-30,DNA FH,DNA Oyj,452.951,40.7169,10.1,"IPO,Primary Share Offering,Secondary Share Offering",1417.13,0.594055593,-3.77692777e-06,"Danske Bank, JP Morgan, Morgan Stanley, Nordea Bank Abp, SEB",Common,1417.13
BCIV SM,2011-04-05,2011-07-21,2011-04-05,2011-07-21,BCIV SM,Banca Civica SA,853.076,222.143,2.7,"IPO,Primary Share Offering",0.0,-1.766063519e-06,-1.766063519e-06,"Credit Suisse, Morgan Stanley",Common,1914.6244081478121
EGPW IM,2010-09-08,2010-11-04,2010-09-08,2010-11-04,EGPW IM,Enel Green Power SpA,3144.57,0.0,1.6,"IPO,Secondary Share Offering",11413.3,-3.125001431,-1.490116119e-06,"Intesa Sanpaolo, Banco Bilbao Vizcaya Argentaria, Bank of America Merrill Lynch, Barclays, Credit Suisse, Goldman Sachs, JP Morgan, Mediobanca, Morgan Stanley, UniCredit",Common,11413.3
ALD FP,2017-05-12,2017-06-16,2017-05-12,2017-06-16,ALD FP,ALD SA,1273.5,80.8207,14.3,"IPO,Secondary Share Offering,Best Efforts,REG S,Rule 144A",6442.08,-1.333810246e-06,-1.333810246e-06,"Societe Generale, Bank of America Merrill Lynch, Barclays, Citi, Credit Suisse, Deutsche Bank, HSBC, JP Morgan",Common,6442.08
FCH LN,2018-09-03,2018-09-28,2018-09-03,2018-09-28,FCH LN,Funding Circle Holdings PLC,567.532,0.0,440.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,REG S,Rule 144A",1961.45,4.545454502,0.0,"Bank of America Merrill Lynch, Goldman Sachs, Morgan Stanley, Numis",Common,1961.45
BSGR NA,2018-02-26,2018-03-23,2018-02-26,2018-03-23,BSGR NA,B&S Group Sarl,469.289,24.692,14.5,"IPO,Secondary Share Offering,Best Efforts,REG S,Rule 144A",1501.67,-2.758620739,0.0,"ABN Amro Bank NV, Rabobank, Deutsche Bank, ING Groep, Morgan Stanley",Common,1501.67
GLO LN,2017-10-12,2017-11-09,2017-10-12,2017-11-09,GLO LN,ContourGlobal PLC,628.296,0.0,250.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",2204.13,2.0,0.0,"BNP Paribas, Citi, Goldman Sachs, JP Morgan, Morgan Stanley, RBC Capital Markets",Common,2204.13
ROVIO FH,2017-09-05,2017-09-29,2017-09-05,2017-09-29,ROVIO FH,Rovio Entertainment Oyj,519.956,0.0,11.5,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,VC Backed,VC Exit,REG S,Rule 144A",1055.96,4.347826004,0.0,"Carnegie, Danske Bank, Deutsche Bank, OP Cooperative",Common,1055.96
CTEC LN,2016-10-03,2016-10-26,2016-10-03,2016-10-26,CTEC LN,ConvaTec Group PLC,2039.99,0.0,225.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",5493.69,0.0,0.0,"Bank of America Merrill Lynch, Credit Suisse, Deutsche Bank, Goldman Sachs, JP Morgan, Morgan Stanley, UBS",Common,5493.69
BIFF LN,2016-09-15,2016-10-17,2016-09-15,2016-10-17,BIFF LN,Biffa PLC,280.731,0.0,180.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",549.36,2.777777672,0.0,"Citi, HSBC, JP Morgan",Common,549.36
STG DC,2016-01-14,2016-02-10,2016-01-14,2016-02-10,STG DC,Scandinavian Tobacco Group A/S,521.899,35.6,100.0,"IPO,Secondary Share Offering,REG S,Rule 144A",1504.48,1.0,0.0,"JP Morgan, Deutsche Bank, Nordea Bank Abp",Common,1504.48
ASCL LN,2016-01-14,2016-02-09,2016-01-14,2016-02-09,ASCL LN,Ascential PLC,432.303,0.0,200.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1158.72,1.0,0.0,"Bank of America Merrill Lynch, BNP Paribas, Deutsche Bank, Goldman Sachs, Numis",Common,1158.72
CMCX LN,2016-01-13,2016-02-05,2016-01-13,2016-02-05,CMCX LN,CMC Markets PLC,314.517,90.4,240.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",999.969,0.625,0.0,"Goldman Sachs, Morgan Stanley, RBC Capital Markets",Common,999.969
CAPIO SS,2015-06-09,2015-06-30,2015-06-09,2015-06-30,CAPIO SS,Capio AB,309.419,48.1226,48.5,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",834.839,2.061855555,0.0,"Carnegie, Deutsche Bank, JP Morgan, SEB",Common,834.839
DFS LN,2015-02-06,2015-03-06,2015-02-06,2015-03-06,DFS LN,DFS Furniture PLC,336.494,107.082,255.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,Rule 144A",818.05,3.921568632,0.0,"Jefferies, Numis, UBS",Common,818.05
VM/ LN,2014-10-02,2014-11-13,2014-10-02,2014-11-13,VM/ LN,Virgin Money Holdings UK PLC,510.705,0.0,283.0,"IPO,Primary Share Offering,Secondary Share Offering",1963.08,1.060070634,0.0,"Bank of America Merrill Lynch, Barclays, Citi, Goldman Sachs",Common,1963.08
TLG GR,2014-09-26,2014-10-24,2014-09-26,2014-10-24,TLG GR,TLG Immobilien AG,476.266,33.5,10.75,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,REG S,Rule 144A",833.108,1.209302306,0.0,"Commerzbank, HSBC, JP Morgan, Kempen & Co NV, UBS",Common,833.108
ELIS FP,2014-09-09,2015-02-11,2014-09-09,2015-02-11,ELIS FP,Elis SA,1103.4,0.0,13.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1676.53,0.0,0.0,"BNP Paribas, Credit Agricole CIB, Deutsche Bank, Goldman Sachs, HSBC, Morgan Stanley, Societe Generale",Common,1676.53
FACC AV,2014-06-04,2014-06-25,2014-06-04,2014-06-25,FACC AV,FACC AG,263.996,21.7159,9.5,"IPO,Primary Share Offering,Secondary Share Offering,Government Exit",591.041,0.0,0.0,"Erste Group Bank, JP Morgan, Morgan Stanley",Common,591.041
ALM LN,2014-05-20,2014-06-20,2014-05-20,2014-06-20,ALM LN,Allied Minds PLC,209.542,0.0,190.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",677.083,0.0,0.0,Jefferies,Common,677.083
SAGA LN,2014-04-30,2014-05-23,2014-04-30,2014-05-23,SAGA LN,Saga PLC,928.014,297.297,185.0,"IPO,Primary Share Offering,PE Backed,PE Exit",3456.17,0.0,0.0,"Bank of America Merrill Lynch, Citi, Credit Suisse, Goldman Sachs, JP Morgan, UBS",Common,3456.17
CIR LN,2014-02-06,2014-03-13,2014-02-06,2014-03-13,CIR LN,Circassia Pharmaceuticals Plc,344.715,0.0,310.0,"IPO,Primary Share Offering,Secondary Share Offering",966.278,0.0,0.0,"JP Morgan, Peel Hunt LLP",Common,966.278
MDC LN,2013-05-28,2013-06-21,2013-05-28,2013-06-21,MDC LN,Mediclinic International PLC,345.326,0.0,575.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1040.43,0.0,0.0,"Deutsche Bank, Goldman Sachs, HSBC",Common,1040.43
NMC LN,2012-03-08,2012-04-02,2012-03-08,2012-04-02,NMC LN,NMC Health PLC,203.904,55.7,210.0,"IPO,Primary Share Offering,Secondary Share Offering",0.0,0.0,0.0,Deutsche Bank,Common,665.0102026508789
POLY LN,2011-10-19,2011-10-28,2011-10-19,2011-10-28,POLY LN,Polymetal International PLC,845.995,53.35,920.0,"IPO,Primary Share Offering",5725.84,0.0,0.0,"Deutsche Bank, HSBC, Morgan Stanley, VTB Capital",Common,5725.84
OPHR LN,2011-06-09,2011-07-08,2011-06-09,2011-07-08,OPHR LN,Ophir Energy Ltd,393.344,93.8673,250.0,"IPO,Primary Share Offering",1289.28,2.0,0.0,"Credit Suisse, JP Morgan, RBC Capital Markets",Common,1289.28
GLEN LN,2011-04-14,2011-05-19,2011-04-14,2011-05-19,GLEN LN,Glencore PLC,9854.33,1132.08,530.0,"IPO,Primary Share Offering,Secondary Share Offering,Dual Listing",59401.8,3.396226406,0.0,"Bank of America Merrill Lynch, BNP Paribas, Citi, Credit Suisse, Morgan Stanley",Common,59401.8
BKIA SM,2011-04-06,2011-07-20,2011-04-06,2011-07-20,BKIA SM,Bankia SA,4428.88,824.572,3.75,"IPO,Primary Share Offering",0.0,-1.866666675,0.0,"Bankia, Bank of America Merrill Lynch, Barclays, BNP Paribas, Deutsche Bank, JP Morgan, Banco Santander, UBS",Common,9227.246743652342
OVS IM,2015-01-26,2015-03-02,2015-01-26,2015-03-02,OVS IM,OVS SpA,502.683,91.0,4.1,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",1057.55,2.326034974e-06,2.326034974e-06,"Intesa Sanpaolo, Bank of America Merrill Lynch, Credit Suisse, Goldman Sachs, HSBC, UniCredit",Common,1057.55
WLN FP,2014-05-07,2014-06-27,2014-05-07,2014-06-27,WLN FP,Worldline SA/France,889.513,0.0,16.4,"IPO,Primary Share Offering,Secondary Share Offering,Rule 144A",2941.53,2.326034974e-06,2.326034974e-06,"Bank of America Merrill Lynch, Barclays, BNP Paribas, Deutsche Bank, Goldman Sachs, Societe Generale",Common,2941.53
FCT IM,2014-05-06,2014-07-03,2014-05-06,2014-07-03,FCT IM,Fincantieri SpA,496.604,703.98,0.78,"IPO,Primary Share Offering",1806.86,3.667978262e-06,3.667978262e-06,"Intesa Sanpaolo, BNP Paribas, Citi, Credit Suisse, Deutsche Bank, Goldman Sachs, HSBC, JP Morgan, Mediobanca, Morgan Stanley, UniCredit",Common,1806.86
MOVE SW,2019-03-22,2019-04-04,2019-03-22,2019-04-04,MOVE SW,Medacta Group SA,592.615,5.7,96.0,"IPO,Secondary Share Offering,REG S,Rule 144A",1920.19,8.333333015,0.1041666642,"Credit Suisse, JP Morgan, Morgan Stanley, UBS",Common,1920.19
LEG GR,2013-01-07,2013-02-01,2013-01-07,2013-02-01,LEG GR,LEG Immobilien AG,1527.33,26.4817,44.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",2752.7,1.136363626,0.113636367,"Goldman Sachs, Deutsche Bank",Common,2752.7
HTY LN,2013-03-04,2013-03-26,2013-03-04,2013-03-26,HTY LN,HellermannTyton Group PLC,342.234,108.691,195.0,"IPO,Primary Share Offering,Secondary Share Offering",635.779,0.5128205419,0.1282051355,"Goldman Sachs, JP Morgan",Common,635.779
DWS GR,2018-02-26,2018-03-23,2018-02-26,2018-03-23,DWS GR,DWS Group GmbH & Co KGaA,1640.77,40.0,32.5,"IPO,Secondary Share Offering,REG S,Rule 144A",7996.95,0.1538461596,0.1538461596,"Deutsche Bank, Barclays, BNP Paribas, Citi, Credit Suisse, ING Groep, Morgan Stanley, UBS, UniCredit",Common,7996.95
RESURS SS,2016-04-18,2016-04-29,2016-04-18,2016-04-29,RESURS SS,Resurs Holding AB,473.389,60.0,55.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1368.4,3.545454502,0.1818181872,"Carnegie, Goldman Sachs, Morgan Stanley, SEB",Common,1368.4
SPI LN,2014-06-25,2014-07-18,2014-06-25,2014-07-18,SPI LN,Spire Healthcare Group PLC,586.335,0.0,210.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1438.18,0.4761904776,0.2380952388,"Bank of America Merrill Lynch, JP Morgan, Morgan Stanley",Common,1438.18
ESL LN,2017-03-23,2017-04-25,2017-03-23,2017-04-25,ESL LN,Eddie Stobart Logistics PLC,491.675,245.543,160.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,Sub Sector Flag,REG S",732.159,1.5625,0.3125,,Common,732.159
BPOST BB,2013-05-23,2013-06-21,2013-05-23,2013-06-21,BPOST BB,bpost SA,1120.49,47.0,14.5,"IPO,Secondary Share Offering,PE Backed,PE Exit",3886.59,0.0,0.3448275924,"BNP Paribas, ING Groep, JP Morgan, KBC Group, Morgan Stanley, Nomura, UBS",Common,3886.59
SAX GR,2010-06-21,2010-07-15,2010-06-21,2010-07-15,SAX GR,Stroeer SE & Co KGaA,457.907,0.0,20.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",0.0,3.0,0.349999994,"JP Morgan, Morgan Stanley",Common,1071.534652552139
CTT PL,2013-11-04,2013-12-05,2013-11-04,2013-12-05,CTT PL,CTT-Correios de Portugal SA,711.906,95.4545,5.52,"IPO,Secondary Share Offering,Government Exit",1126.08,6.884058475,0.3623192012,"JP Morgan, Caixa Banco de Investimento SA",Common,1126.08
EXO LN,2014-03-20,2014-04-11,2014-03-20,2014-04-11,EXO LN,Exova Group Ltd,390.479,0.0,220.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",920.865,0.0,0.4545454681,"Barclays, Credit Suisse, Goldman Sachs",Common,920.865
ZAL GR,2014-09-03,2014-10-01,2014-09-03,2014-10-01,ZAL GR,Zalando SE,691.53,24.4762,21.5,"IPO,Primary Share Offering,VC Backed,REG S,Rule 144A",6681.64,12.0930233,0.4651162922,"Credit Suisse, Deutsche Bank, Goldman Sachs, JP Morgan, Morgan Stanley",Common,6681.64
PAH LN,2013-05-17,2013-05-17,2013-05-17,2013-05-17,PAH LN,Element Solutions Inc,885.0,88.5,10.0,"IPO,Primary Share Offering,SPAC",885.29,0.5,0.5,"Barclays, Citi",Common,885.29
KOJAMO FH,2018-05-21,2018-06-15,2018-05-21,2018-06-15,KOJAMO FH,Kojamo Oyj,651.472,0.0,8.5,"IPO,Primary Share Offering,Secondary Share Offering",2443.98,14.70588207,0.6000000238,"Goldman Sachs, JP Morgan, Nordea Bank Abp, OP Cooperative",Common,2443.98
LAND SW,2017-07-03,2017-07-21,2017-07-03,2017-07-21,LAND SW,Landis+Gyr Group AG,2380.37,29.4281,78.0,"IPO,Secondary Share Offering,VC Backed,VC Exit",2432.35,1.282051325,0.6410256624,"Credit Suisse, JP Morgan, Morgan Stanley, UBS",Common,2432.35
MDMG LI,2012-09-17,2012-10-12,2012-09-17,2012-10-12,MDMG LI,MD Medical Group Investments P,289.219,0.0,12.0,"IPO,Primary Share Offering,Secondary Share Offering",0.0,3.333333254,0.75,"Deutsche Bank, JP Morgan",Common,908.26125
SEN GR,2016-02-22,2016-03-23,2016-02-22,2016-03-23,SEN GR,Senvion SA,282.248,16.25,15.75,"IPO,Secondary Share Offering,Best Efforts,PE Backed,PE Exit",1151.62,1.587301612,0.9460317492,"Bank of America Merrill Lynch, Barclays, Joh Berenberg Gossler & Co KG, Citi, Deutsche Bank, JP Morgan, Morgan Stanley",Common,1151.62
SEPL LN,2014-03-11,2014-04-09,2014-03-11,2014-04-09,SEPL LN,SEPLAT Petroleum Development C,535.018,0.0,210.0,"IPO,Primary Share Offering,REG S,Rule 144A",0.0,-2.619047642,0.9523809552,"BNP Paribas, Citi, RBC Capital Markets, Renaissance Capital Pty Ltd, Industrial & Comm Bank of China",Common,1909.632811380615
690D GR,2018-10-05,2018-10-24,2018-10-05,2018-10-24,690D GR,Haier Smart Home Co Ltd,327.62,265.0,1.05,"IPO,Primary Share Offering",0.0,0.9523855448,0.9523855448,"China International Capital Corp, Deutsche Bank, JP Morgan, UBS",Common,11963.399208712557
FNTN GR,2010-01-13,2010-01-13,2010-01-13,2010-01-13,FNTN GR,Freenet AG,166.52,0.0,8.9,"IPO,Secondary Share Offering,PE Backed,PE Exit",0.0,1.123599887,1.011240244,"Goldman Sachs, UBS",Common,2568.50583511322
ELIOR FP,2014-05-28,2014-06-11,2014-05-28,2014-06-11,ELIOR FP,Elior Group SA,1297.01,0.0,14.75,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",3281.03,1.694915295,1.016949177,"Barclays, Credit Agricole CIB, Credit Suisse, Deutsche Bank, HSBC, JP Morgan",Common,3281.03
PNDXB SS,2015-05-26,2015-06-18,2015-05-26,2015-06-18,PNDXB SS,Pandox AB,750.673,52.1739,106.0,"IPO,Secondary Share Offering",1956.39,5.188679218,1.03773582,"ABG Sundal Collier Asa, Svenska Handelsbanken, Morgan Stanley",Class B,1956.39
AKD NO,2011-01-20,2011-02-25,2011-01-20,2011-02-25,AKD NO,Transocean Norway Drilling AS,668.62,0.0,19.0,"IPO,Primary Share Offering",0.0,0.5263158083,1.052631617,"Arctic Securities, DNB ASA, Pareto Securities",Common,959.7407400238895
ATCT NA,2014-01-07,2014-01-31,2014-01-07,2014-01-31,ATCT NA,Altice SA,2045.37,0.0,28.25,"IPO,Primary Share Offering,Secondary Share Offering",7736.65,0.1769911498,1.168141603,"Goldman Sachs, Morgan Stanley, Credit Suisse, Deutsche Bank, HSBC",Common,7736.65
TLX GR,2012-09-20,2012-10-02,2012-09-20,2012-10-02,TLX GR,Talanx AG,668.647,26.01,18.3,"IPO,Primary Share Offering",6000.51,-100.0,1.256834865,"Citi, Deutsche Bank, Joh Berenberg Gossler & Co KG, JP Morgan",Common,6000.51
SPOL NO,2017-05-04,2017-06-13,2017-05-04,2017-06-13,SPOL NO,Sparebank 1 Oestlandet,205.932,26.8256,78.0,"IPO,Secondary Share Offering,Best Efforts,Rule 144A",988.793,0.6410256624,1.282051325,"Pareto Securities, SpareBank 1 Markets AS, Swedbank",Common,988.793
KD8 GR,2010-03-10,2010-03-22,2010-03-10,2010-03-22,KD8 GR,Kabel Deutschland Holding AG,1035.88,0.0,22.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",0.0,2.272727251,1.318181872,"Deutsche Bank, JP Morgan, Morgan Stanley, UBS",Common,2720.0709899999997
GPH LN,2017-04-19,2017-05-12,2017-04-19,2017-05-12,GPH LN,Global Ports Holding PLC,204.322,25.7347,740.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",598.492,0.6756756902,1.35135138,"Barclays, Citi, Goldman Sachs, VTB Capital",Common,598.492
HLAG GR,2015-09-28,2015-11-06,2015-09-28,2015-11-06,HLAG GR,Hapag-Lloyd AG,297.328,15.213,20.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",2550.93,0.25,1.495000005,"Joh Berenberg Gossler & Co KG, Citi, Credit Suisse, Deutsche Bank, Goldman Sachs, HSBC, UniCredit",Common,2550.93
KBX GR,2018-09-17,2018-10-12,2018-09-17,2018-10-12,KBX GR,Knorr-Bremse AG,4500.83,35.0435,80.0,"IPO,Secondary Share Offering,REG S,Rule 144A",14880.7,0.125,1.549999952,"Commerzbank, Deutsche Bank, Joh Berenberg Gossler & Co KG, JP Morgan, Morgan Stanley, UBS, UniCredit",Common,14880.7
XFAB FP,2017-03-07,2017-04-06,2017-03-07,2017-04-06,XFAB FP,X-Fab Silicon Foundries SE,450.921,50.0004,8.0,"IPO,Primary Share Offering,Secondary Share Offering,Government Exit,REG S,Rule 144A",1113.95,-2.5,1.75,"BNP Paribas, HSBC, Credit Suisse",Common,1113.95
GVNV NA,2015-01-12,2015-02-06,2015-01-12,2015-02-06,GVNV NA,GrandVision NV,1319.78,51.0,20.0,"IPO,Secondary Share Offering,Best Efforts,REG S,Rule 144A",5769.01,0.0,1.75,"ABN Amro Bank NV, Barclays, BNP Paribas, HSBC, JP Morgan",Common,5769.01
OSB LN,2014-05-07,2014-06-05,2014-05-07,2014-06-05,OSB LN,OneSavings Bank PLC,242.364,0.0,170.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",694.285,1.176470637,1.764705896,"Barclays, Canaccord Genuity, RBC Capital Markets",Common,694.285
GTT FP,2014-02-17,2014-02-27,2014-02-17,2014-02-27,GTT FP,Gaztransport Et Technigaz SA,902.709,13.5,46.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",2328.78,0.2173912972,2.173913002,"Deutsche Bank, Lazard Natixis, Morgan Stanley",Common,2328.78
