,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
TTALO FH,2017-09-14,2017-10-11,2017-09-14,2017-10-11,TTALO FH,Terveystalo Oyj,1041.65,72.9946,9.76,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1468.58,5.532784462,2.459013939,"Carnegie, Jefferies, Morgan Stanley, OP Cooperative, SEB",Common,1468.58
KVW NA,2017-04-18,2017-05-12,2017-04-18,2017-05-12,KVW NA,Koninklijke Volkerwessels NV,694.193,25.0,23.0,"IPO,Secondary Share Offering,Best Efforts,REG S,Rule 144A",2009.1,0.0,2.521739244,"ABN Amro Bank NV, BNP Paribas, Rabobank, ING Groep, Bank of America Merrill Lynch, Morgan Stanley",Common,2009.1
ASRNL NA,2016-05-13,2016-06-10,2016-05-13,2016-06-10,ASRNL NA,ASR Nederland NV,1199.16,52.2,19.5,"IPO,Secondary Share Offering,Best Efforts,Government Exit,REG S,Rule 144A",3298.81,4.871794701,2.56410265,"ABN Amro Bank NV, Barclays, Citi, Deutsche Bank, HSBC, ING Groep, Rabobank",Common,3298.81
OCY NO,2013-05-29,2013-07-05,2013-05-29,2013-07-05,OCY NO,Ocean Yield ASA,161.372,33.5,27.0,"IPO,Primary Share Offering,Secondary Share Offering",594.955,0.0,2.592592478,,Common,594.955
HLE GR,2014-11-03,2014-11-11,2014-11-03,2014-11-11,HLE GR,Hella GmbH & Co KGaA,190.24,5.0,26.5,"IPO,Secondary Share Offering",3650.52,3.773584843,2.641509533,"Bankhaus Lampe KG, Citi",Common,3650.52
SSPG LN,2014-06-17,2014-07-10,2014-06-17,2014-07-10,SSPG LN,SSP Group Plc,939.608,0.0,210.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed",1707.52,4.761904716,2.738095284,"Bank of America Merrill Lynch, Goldman Sachs, Jefferies, Morgan Stanley",Common,1707.52
CHOO LN,2014-09-23,2014-10-17,2014-09-23,2014-10-17,CHOO LN,Jimmy Choo Group Ltd,253.219,0.0,140.0,"IPO,Secondary Share Offering",878.246,0.7142857313,2.8571429249999998,"HSBC, Bank of America Merrill Lynch",Common,878.246
CASH SM,2017-02-01,2017-03-17,2017-02-01,2017-03-17,CASH SM,Prosegur Cash SA,887.114,375.0,2.0,"IPO,Secondary Share Offering,REG S,Rule 144A",3188.1,7.5,3.0,"Banco Bilbao Vizcaya Argentaria, Banco Santander, Citi, Goldman Sachs, JB Capital Markets, HSBC, Deutsche Bank",Common,3188.1
EVK GR,2013-04-22,2013-04-25,2013-04-22,2013-04-25,EVK GR,Evonik Industries AG,391.576,9.32,32.2,"IPO,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",19515.8,2.484469652,3.012419939,"Deutsche Bank, MainFirst Bank AG",Common,19515.8
ENTRA NO,2014-09-17,2014-10-17,2014-09-17,2014-10-17,ENTRA NO,Entra ASA,934.165,51.0,65.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,Government Exit,REG S,Rule 144A",1825.95,0.0,3.076923132,"ABG Sundal Collier Asa, Goldman Sachs, Swedbank",Common,1825.95
LOG SM,2014-06-10,2014-07-14,2014-06-10,2014-07-14,LOG SM,Cia de Distribucion Integral L,701.31,36.2045,13.0,"IPO,Secondary Share Offering",2346.5,1.923076868,3.076923132,"Credit Suisse, Goldman Sachs, Morgan Stanley",Common,2346.5
IBST LN,2015-09-28,2015-10-22,2015-09-28,2015-10-22,IBST LN,Ibstock PLC,538.663,122.0,190.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1185.41,4.736842155,3.15789485,"Barclays, JP Morgan, Numis, UBS",Common,1185.41
HOME SM,2017-03-06,2017-03-29,2017-03-06,2017-03-29,HOME SM,Neinor Homes SA,820.222,43.0937,16.46,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1393.4,7.229653358,3.159179449,"Credit Suisse, Citi, BNP Paribas, Banco Santander, JP Morgan",Common,1393.4
HIS SM,2014-03-03,2014-03-14,2014-03-03,2014-03-14,HIS SM,Hispania Activos Inmobiliarios,755.48,50.0,10.0,"IPO,Primary Share Offering",765.499,5.0,3.25,"Goldman Sachs, UBS",Common,765.499
MATAS DC,2013-05-31,2013-06-28,2013-05-31,2013-06-28,MATAS DC,Matas A/S,489.449,21.2712,115.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",818.091,6.086956501,3.478260756,"Morgan Stanley, Nordea Bank Abp",Common,818.091
AMUN FP,2015-06-17,2015-11-12,2015-06-17,2015-11-12,AMUN FP,Amundi SA,1882.58,33.3583,45.0,"IPO,Secondary Share Offering,REG S,Rule 144A",8052.79,0.0,3.555555582,"Credit Agricole CIB, Societe Generale, Citi, Deutsche Bank, Goldman Sachs, JP Morgan, Bank of America Merrill Lynch, Morgan Stanley, UBS",Common,8052.79
BAKK LN,2017-10-10,2017-11-16,2017-10-10,2017-11-16,BAKK LN,Bakkavor Group PLC,344.44,0.0,180.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",1376.2,6.666666508,3.611111164,"Barclays, Citi, HSBC, Morgan Stanley, Peel Hunt LLP",Common,1376.2
NEOEN FP,2018-09-19,2018-10-17,2018-09-19,2018-10-17,NEOEN FP,Neoen SA,815.679,38.8936,16.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Government Exit,REG S,Rule 144A",1623.41,3.636363745,3.636363745,"Barclays, JP Morgan, Natixis, Societe Generale",Common,1623.41
HFG GR,2015-10-28,2017-11-02,2015-10-28,2017-11-02,HFG GR,HelloFresh SE,315.961,27.0,10.25,"IPO,Primary Share Offering,PE Backed,PE Exit",1918.76,3.414634228,3.746341467,"BNP Paribas, Deutsche Bank, Joh Berenberg Gossler & Co KG, JP Morgan, Morgan Stanley",Common,1918.76
INFI LN,2013-11-04,2013-11-15,2013-11-04,2013-11-15,INFI LN,Tooley Energy Ltd,379.484,0.0,260.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",1253.54,0.0,3.846153736,"Barclays, Deutsche Bank, RBC Capital Markets",Common,1253.54
SFR NO,2010-09-23,2010-10-22,2010-09-23,2010-10-22,SFR NO,Circle K AS,908.002,0.0,39.0,"IPO,Secondary Share Offering",0.0,7.43589735,3.846153736,"ABG Sundal Collier Asa, Bank of America Merrill Lynch, Citi",Common,2003.0473712143262
JUB LN,2010-11-08,2010-11-24,2010-11-08,2010-11-24,JUB LN,Jubilant Energy NV,86.2179,0.0,77.0,"IPO,Primary Share Offering,Sub Sector Flag",509.787,4.545454502,3.896103859,"Investec, Renaissance Capital Pty Ltd",Common,509.787
SFSN SW,2014-04-03,2014-05-07,2014-04-03,2014-05-07,SFSN SW,SFS Group AG,789.862,10.0089,64.0,"IPO,Primary Share Offering,Secondary Share Offering",2740.98,4.6875,3.984375,"Credit Suisse, Morgan Stanley, UBS",Common,2740.98
B2H NO,2016-05-24,2016-06-08,2016-05-24,2016-06-08,B2H NO,B2Holding ASA,104.093,73.05,12.0,"IPO,Primary Share Offering,Secondary Share Offering,Rule 144A",544.458,8.333333015,4.166666508,"ABG Sundal Collier Asa, Arctic Securities, Nordea Bank Abp",Common,544.458
AMGO LN,2018-06-07,2018-06-29,2018-06-07,2018-06-29,AMGO LN,Amigo Holdings PLC,482.173,0.0,275.0,"IPO,Secondary Share Offering,REG S,Rule 144A",1724.68,5.454545498,4.181818008,"JP Morgan, Macquarie, RBC Capital Markets",Common,1724.68
CCFS LN,2017-09-05,2017-09-29,2017-09-05,2017-09-29,CCFS LN,Charter Court Financial Servic,329.355,0.0,230.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",780.927,3.478260756,4.347826004,"Barclays, Stifel, RBC Capital Markets",Common,780.927
O2D GR,2012-10-03,2012-10-30,2012-10-03,2012-10-30,O2D GR,Telefonica Deutschland Holding,1870.37,225.0,5.6,"IPO,Primary Share Offering,Secondary Share Offering",8310.49,0.05357313156,4.410716057,"Bank of America Merrill Lynch, BNP Paribas, Citi, HSBC, JP Morgan, UBS",Common,8310.49
CSP LN,2016-01-14,2016-02-12,2016-01-14,2016-02-12,CSP LN,Countryside Properties PLC,503.498,0.0,225.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",1465.49,0.8888888955,4.444444656,"Barclays, JP Morgan, Numis, Peel Hunt LLP",Common,1465.49
APPS SM,2014-04-02,2014-05-09,2014-04-02,2014-05-09,APPS SM,Applus Services SA,1665.69,83.0189,14.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2612.8,3.448275805,4.482758522,"Citi, JP Morgan, Morgan Stanley, UBS",Common,2612.8
ZIOC LN,2010-11-03,2010-11-18,2010-11-03,2010-11-18,ZIOC LN,Zanaga Iron Ore Co Ltd,99.8759,0.0,156.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,Sub Sector Flag",701.187,7.051281929,4.487179279,,Common,701.187
VVO LN,2018-04-10,2018-05-04,2018-04-10,2018-05-04,VVO LN,Vivo Energy PLC,853.116,332.275,165.0,"IPO,Secondary Share Offering,Dual Listing,REG S,Rule 144A",2682.11,2.727272749,4.545454502,"BNP Paribas, Citi, Credit Suisse, JP Morgan, FirstRand Ltd, Standard Bank of South Africa",Common,2682.11
ZPG LN,2014-05-22,2014-06-18,2014-05-22,2014-06-18,ZPG LN,ZPG Ltd,652.575,192.6,220.0,"IPO,Secondary Share Offering,VC Backed,VC Exit",1557.29,1.363636374,4.545454502,"Credit Suisse, Jefferies",Common,1557.29
VAO GR,2017-05-31,2017-06-27,2017-05-31,2017-06-27,VAO GR,Vapiano SE,189.987,7.5807,23.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",618.347,4.13043499,4.652173996,"Barclays, Jefferies, Joh Berenberg Gossler & Co KG, UniCredit",Common,618.347
RWAY IM,2014-09-09,2014-11-14,2014-09-09,2014-11-14,RWAY IM,RAI Way SpA,361.971,83.0,2.95,"IPO,Secondary Share Offering,REG S,Rule 144A",1000.19,0.6779644489,4.677964211,"Intesa Sanpaolo, BNP Paribas, Citi, Credit Suisse, Mediobanca",Common,1000.19
QLT LN,2018-04-20,2018-06-25,2018-04-20,2018-06-25,QLT LN,Quilter PLC,341.432,0.0,145.0,"IPO,Secondary Share Offering,Dual Listing,REG S,Rule 144A",3659.11,4.13793087,4.827586174,"Bank of America Merrill Lynch, BNP Paribas, Goldman Sachs, JP Morgan",Common,3659.11
HEMF SS,2014-03-10,2014-03-21,2014-03-10,2014-03-21,HEMF SS,Hemfosa Fastigheter AB,566.513,34.5089,93.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",950.909,5.913978577,4.838709831,"SEB, Swedbank",Common,950.909
BWLPG NO,2013-11-11,2013-11-21,2013-11-11,2013-11-21,BWLPG NO,BW LPG Ltd,572.775,72.0367,47.0,"IPO,Primary Share Offering,Secondary Share Offering",1122.14,6.382978916,4.893617153,"Bank of America Merrill Lynch, Deutsche Bank, SEB",Common,1122.14
SHUR BB,2018-09-28,2018-10-15,2018-09-28,2018-10-15,SHUR BB,Shurgard Self Storage SA,580.99,0.0,23.0,"IPO,Primary Share Offering,REG S,Rule 144A",2365.23,4.347826004,4.934782505,"BNP Paribas, HSBC, JP Morgan, Kempen & Co NV, Societe Generale",Common,2365.23
CRN LN,2015-06-03,2015-06-10,2015-06-03,2015-06-10,CRN LN,Cairn Homes PLC,495.22,0.0,1.0,"IPO,Primary Share Offering",528.647,5.0,5.0,"Credit Suisse, Goodbody",Common,528.647
MAREL NA,2019-05-20,2019-06-07,2019-05-20,2019-06-07,MAREL NA,Marel HF,413.216,90.9091,3.7,"IPO,Primary Share Offering,Dual Listing,REG S,Rule 144A",0.0,4.05405283,5.405404091,"ABN Amro Bank NV, Citi, ING Groep, JP Morgan, Rabobank",Common,3369.6541551581995
SHAW LN,2015-03-12,2015-04-01,2015-03-12,2015-04-01,SHAW LN,Shawbrook Group PLC,371.711,75.0,290.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1075.1,4.13793087,5.517241478,"Bank of America Merrill Lynch, Goldman Sachs, Macquarie",Common,1075.1
ONTEX BB,2014-05-28,2014-06-25,2014-05-28,2014-06-25,ONTEX BB,Ontex Group NV,810.689,0.0,18.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1670.67,2.777777672,5.555555344,"Goldman Sachs, Bank of America Merrill Lynch, JP Morgan, UBS",Common,1670.67
BME LN,2014-05-22,2014-06-12,2014-05-22,2014-06-12,BME LN,B&M European Value Retail SA,1984.37,400.0,270.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",4539.51,3.333333254,5.555555344,"Bank of America Merrill Lynch, Credit Suisse, Deutsche Bank, Goldman Sachs",Common,4539.51
CHR DC,2010-04-26,2010-06-03,2010-04-26,2010-06-03,CHR DC,Chr Hansen Holding A/S,989.732,0.0,90.0,"IPO,Primary Share Offering,Secondary Share Offering",2032.77,4.444444656,5.555555344,"Credit Suisse, Danske Bank, JP Morgan, Morgan Stanley, SEB",Common,2032.77
SPIE FP,2014-07-09,2015-06-10,2014-07-09,2015-06-10,SPIE FP,SPIE SA,1407.63,0.0,16.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2789.32,3.030303001,5.757575989,"Bank of America Merrill Lynch, Barclays, BNP Paribas, HSBC, JP Morgan, Societe Generale, UBS",Common,2789.32
EKT SM,2015-06-03,2015-07-01,2015-06-03,2015-07-01,EKT SM,Euskaltel SA,945.727,80.4089,9.5,"IPO,Secondary Share Offering,REG S,Rule 144A",1340.71,10.52631569,5.789473534,"Banco Bilbao Vizcaya Argentaria, Citi, JP Morgan, UBS",Common,1340.71
ESUR LN,2013-02-27,2013-03-22,2013-02-27,2013-03-22,ESUR LN,esure Group PLC,1052.08,178.684,290.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1840.34,8.620689392,5.86206913,"Deutsche Bank, JP Morgan",Common,1840.34
MDM FP,2016-04-19,2016-05-27,2016-04-19,2016-05-27,MDM FP,Maisons du Monde SA,431.72,19.696,17.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",859.56,2.941176414,5.882352829,"Citi, Credit Agricole CIB, Goldman Sachs, Jefferies, JP Morgan, Societe Generale",Common,859.56
SNTC SS,2013-11-13,2013-12-10,2013-11-13,2013-12-10,SNTC SS,Geberit Production Oy,549.748,40.0,61.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",934.451,4.918032646,6.147541046,"Carnegie, Nordea Bank Abp, UBS",Common,934.451
PLP LN,2014-03-18,2014-04-11,2014-03-18,2014-04-11,PLP LN,Polypipe Group plc,529.392,0.0,245.0,"IPO,Secondary Share Offering",820.407,0.0,6.224489689,"Deutsche Bank, Numis",Common,820.407
DKSH SW,2012-02-15,2012-03-20,2012-02-15,2012-03-20,DKSH SW,DKSH Holding AG,977.653,17.1,48.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",3344.67,6.25,6.25,"Credit Suisse, Deutsche Bank, Joh Berenberg Gossler & Co KG, UBS",Common,3344.67
AZEM LN,2010-10-01,2010-10-29,2010-10-01,2010-10-29,AZEM LN,AZ Electronic Materials Sarl,696.516,0.0,240.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1464.26,9.166666985,6.25,"Deutsche Bank, Goldman Sachs, UBS",Common,1464.26
NN NA,2014-06-05,2014-07-02,2014-06-05,2014-07-02,NN NA,NN Group NV,2415.11,77.0,20.0,"IPO,Secondary Share Offering",9583.7,5.0,6.300000191,"ING Groep, BNP Paribas, Citi, Commerzbank, Credit Suisse, Deutsche Bank, JP Morgan, Morgan Stanley, Nomura",Common,9583.7
UNI SM,2017-03-25,2017-06-30,2017-03-25,2017-06-30,UNI SM,Unicaja Banco SA,817.052,625.0,1.1,"IPO,Primary Share Offering,REG S,Rule 144A",2015.42,6.363634109,6.363634109,"Citi, Credit Suisse, Morgan Stanley, UBS",Common,2015.42
VNA GR,2013-02-21,2013-07-11,2013-02-21,2013-07-11,VNA GR,Vonovia SE,759.0,30.303,16.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",4733.03,3.636363745,6.363636494,"Morgan Stanley, JP Morgan, Deutsche Bank, Bank of America Merrill Lynch",Common,4733.03
TKWY NA,2016-09-06,2016-09-30,2016-09-06,2016-09-30,TKWY NA,Takeaway.com NV,424.367,16.9265,23.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,VC Backed,VC Exit,REG S,Rule 144A",1114.68,2.173913002,6.5,"ABN Amro Bank NV, Bank of America Merrill Lynch, Morgan Stanley, UBS",Common,1114.68
PBB GR,2015-06-10,2015-07-16,2015-06-10,2015-07-16,PBB GR,Deutsche Pfandbriefbank AG,1307.28,100.991,10.75,"IPO,Secondary Share Offering,REG S,Rule 144A",1582.51,-100.0,6.511627674,"Joh Berenberg Gossler & Co KG, Citi, Commerzbank, Deutsche Bank, JP Morgan",Common,1582.51
IMCD NA,2014-06-03,2014-06-27,2014-06-03,2014-06-27,IMCD NA,IMCD NV,724.321,22.4721,21.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",0.0,4.761904716,6.523809433,"Deutsche Bank, Goldman Sachs, HSBC, Rabobank",Common,1525.74585
ARW LN,2013-09-10,2013-10-08,2013-09-10,2013-10-08,ARW LN,Arrow Global Group PLC,326.849,0.0,205.0,"IPO,Primary Share Offering,Secondary Share Offering,Government Exit",575.174,9.756097794,6.585365772,"Goldman Sachs, Jefferies",Common,575.174
CYBG LN,2015-12-07,2016-02-03,2015-12-07,2016-02-03,CYBG LN,CYBG PLC,595.952,191.156,180.0,"IPO,Secondary Share Offering",2280.77,1.666666627,6.666666508,"Bank of America Merrill Lynch, JP Morgan, Macquarie, Morgan Stanley",Common,2280.77
XXL NO,2014-09-09,2014-10-03,2014-09-09,2014-10-03,XXL NO,XXL ASA,478.56,31.5,58.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1231.01,0.0,6.896551609,"ABG Sundal Collier Asa, Carnegie, Credit Suisse, Goldman Sachs",Common,1231.01
SOPH LN,2015-06-03,2015-06-26,2015-06-03,2015-06-26,SOPH LN,Sophos Group PLC,620.67,156.525,225.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1593.17,0.0,7.222222328,"Deutsche Bank, JP Morgan, Morgan Stanley, UBS",Common,1593.17
ELTEL SS,2015-01-12,2015-02-06,2015-01-12,2015-02-06,ELTEL SS,Eltel AB,355.169,51.1,68.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",506.59,10.29411793,7.352941036,"BNP Paribas, Morgan Stanley, SEB",Common,506.59
DLG LN,2012-09-14,2012-10-11,2012-09-14,2012-10-11,DLG LN,Direct Line Insurance Group PL,1470.73,500.0,175.0,"IPO,Secondary Share Offering,Government Exit",4200.79,3.428571463,7.428571224,"Goldman Sachs, Morgan Stanley, UBS",Common,4200.79
MTRO LN,2016-03-04,2016-03-07,2016-03-04,2016-03-07,MTRO LN,Metro Bank PLC,568.88,0.0,2000.0,"IPO,Primary Share Offering",2282.93,4.0,7.5,"Bank of America Merrill Lynch, Goldman Sachs, Stifel, RBC Capital Markets",Common,2282.93
BRAV SS,2015-09-21,2015-10-16,2015-09-21,2015-10-16,BRAV SS,Bravida Holding AB,389.222,70.5483,40.0,"IPO,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",980.813,6.5,7.5,"Deutsche Bank, Morgan Stanley, Nordea Bank Abp, SEB",Common,980.813
ALBK ID,2017-05-30,2017-06-23,2017-05-30,2017-06-23,ALBK ID,Allied Irish Banks PLC,3837.15,678.595,4.4,"IPO,Secondary Share Offering,Best Efforts,Dual Listing,Government Exit,REG S,Rule 144A",13372.9,8.181816101,7.613634109,"Bank of America Merrill Lynch, Citi, Davy, Deutsche Bank, Goldman Sachs, Goodbody, JP Morgan, UBS",Common,13372.9
SDRY LN,2010-02-15,2010-03-24,2010-02-15,2010-03-24,SDRY LN,Superdry PLC,187.896,0.0,500.0,"IPO,Primary Share Offering",0.0,0.400000006,8.0,Tenebris Realisations Ltd,Common,635.4207000000004
FBK IM,2014-04-17,2014-07-02,2014-04-17,2014-07-02,FBK IM,FinecoBank Banca Fineco SpA,1069.22,181.883,3.7,"IPO,Secondary Share Offering",3059.96,8.108106613,8.108106613,"UniCredit, Mediobanca, UBS",Common,3059.96
IREN SW,2016-06-07,2016-06-30,2016-06-07,2016-06-30,IREN SW,Investis Holding SA,168.898,3.0612,53.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S",694.157,1.415094376,8.113207817,Credit Suisse,Common,694.157
AMS SM,2010-04-16,2010-04-29,2010-04-16,2010-04-29,AMS SM,Amadeus IT Group SA,1950.04,0.0,11.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",0.0,0.0,8.181818008,"Goldman Sachs, JP Morgan, Morgan Stanley",Common,7053.519395687257
COFA FP,2014-05-07,2014-06-27,2014-05-07,2014-06-27,COFA FP,Coface SA,1331.68,79.9891,10.4,"IPO,Secondary Share Offering",2220.32,0.09615752101,8.557696342,"Natixis, BNP Paribas, Credit Suisse, Deutsche Bank, JP Morgan, Morgan Stanley",Common,2220.32
BNR GR,2010-03-15,2010-03-29,2010-03-15,2010-03-29,BNR GR,Brenntag AG,1021.98,0.0,50.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",3460.54,0.0,8.659999847,"Bank of America Merrill Lynch, Deutsche Bank, Goldman Sachs, JP Morgan",Common,3460.54
WIZZ LN,2015-02-04,2015-02-25,2015-02-04,2015-02-25,WIZZ LN,Wizz Air Holdings Plc,469.645,0.0,1150.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",932.137,4.347826004,8.695652008,"Barclays, Citi, JP Morgan",Common,932.137
TKBP SW,2014-03-24,2014-04-07,2014-03-24,2014-04-07,TKBP SW,Thurgauer Kantonalbank,210.514,2.175,74.0,"IPO,Primary Share Offering,Secondary Share Offering",1665.54,2.702702761,8.716216087,Zuercher Kantonalbank,Common,1665.54
STM GR,2014-04-25,2014-05-23,2014-04-25,2014-05-23,STM GR,Stabilus SA,361.703,10.971,21.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",607.189,5.8139534,8.772092819,"Commerzbank, JP Morgan",Common,607.189
JE/ LN,2014-03-17,2014-04-03,2014-03-17,2014-04-03,JE/ LN,Just Eat PLC,599.148,138.503,260.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed",2431.0,9.615385056,8.846154213,"Goldman Sachs, JP Morgan",Common,2431.0
AUTO LN,2015-02-26,2015-03-19,2015-02-26,2015-03-19,AUTO LN,Auto Trader Group PLC,2456.76,0.0,235.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",3459.67,11.06382942,8.936170578,"Bank of America Merrill Lynch, Deutsche Bank, JP Morgan, Morgan Stanley",Common,3459.67
SIGN SW,2018-09-03,2018-09-28,2018-09-03,2018-09-28,SIGN SW,SIG Combibloc Group AG,1761.84,0.0,11.25,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed",3688.01,5.333333492,9.333333015,"Bank of America Merrill Lynch, Barclays, Citi, Credit Suisse, Goldman Sachs, Morgan Stanley, UBS",Common,3688.01
COMH SS,2014-05-23,2014-06-17,2014-05-23,2014-06-17,COMH SS,Com Hem Holding AB,938.392,0.0,58.0,"IPO,Primary Share Offering,PE Backed",1893.54,3.448275805,9.568965912,"Carnegie, JP Morgan, Morgan Stanley, Nordea Bank Abp",Common,1893.54
ORSTED DC,2015-09-18,2016-06-09,2015-09-18,2016-06-09,ORSTED DC,Orsted A/S,2998.42,72.834,235.0,"IPO,Secondary Share Offering,Best Efforts,Government Exit,REG S,Rule 144A",14944.9,8.510638237,9.787234306,"Citi, Danske Bank, JP Morgan, Morgan Stanley, Nordea Bank Abp, UBS",Common,14944.9
SHL GR,2017-11-29,2018-03-16,2017-11-29,2018-03-16,SHL GR,Siemens Healthineers AG,4977.43,130.435,28.0,"IPO,Secondary Share Offering,REG S,Rule 144A",34538.0,3.928571463,9.821428299,"Bank of America Merrill Lynch, BNP Paribas, Citi, Deutsche Bank, Goldman Sachs, JP Morgan, UBS",Common,34538.0
