,2018-09-28 00:00:00,ticker,date,holding,size,revision
"('LB CN', '04/Sep/2018', None, None)",-0.01500710545654882,LB CN,04/Sep/2018,18,0.007523022812288725,-0.08458331240086987
"('VREX US', '03/Aug/2018', None, None)",-0.014583108583653415,VREX US,03/Aug/2018,40,0.003794182347177787,-0.25961769115442285
"('CONN US', '04/Sep/2018', None, None)",-0.012969177898466633,CONN US,04/Sep/2018,18,0.0018132852079703278,0.053625308494828744
"('FIT US', '02/Aug/2018', None, None)",-0.010361610851111536,FIT US,02/Aug/2018,40,0.0020729728483966743,0.06308335836420467
"('UFCS US', '08/Aug/2018', None, None)",-0.008374582321634017,UFCS US,08/Aug/2018,37,0.004332715723772904,-0.17078792621739833
"('IOSP US', '08/Aug/2018', None, None)",-0.007370287009948573,IOSP US,08/Aug/2018,37,0.003454346961881467,-0.019008769008768987
"('TCX US', '09/Aug/2018', None, None)",-0.005390537340296264,TCX US,09/Aug/2018,36,0.005515727681647046,-0.3708426606971539
"('HOLI US', '15/Aug/2018', None, None)",-0.0035548846139634716,HOLI US,15/Aug/2018,32,0.004061542107619352,0.0004625346901019121
"('PBYI US', '10/Aug/2018', None, None)",-0.0023886916322515273,PBYI US,10/Aug/2018,35,0.002528746128522336,5.5130960529317825
"('PRSC US', '08/Aug/2018', None, None)",-0.0009241753291228116,PRSC US,08/Aug/2018,37,0.002567637928687227,0.0142857142857143
"('EPZM US', '02/Aug/2018', None, None)",-0.00048144580306808127,EPZM US,02/Aug/2018,40,0.0014142625025871836,0.042967292288998975
"('CERS US', '03/Aug/2018', None, None)",-0.000215980188475684,CERS US,03/Aug/2018,40,0.002309178705897042,0.00817314155128378
"('SXI US', '28/Aug/2018', None, None)",0.001338121886164112,SXI US,28/Aug/2018,23,0.004317091575979917,-0.009290540540540492
"('CSGS US', '02/Aug/2018', None, None)",0.004140672491917297,CSGS US,02/Aug/2018,40,0.005774272169914949,0.012798600266065156
"('AMBA US', '31/Aug/2018', None, None)",0.0055072142190484286,AMBA US,31/Aug/2018,20,0.0036846236329364534,-0.41209635205703105
"('ANGO US', '27/Sep/2018', None, None)",0.006488344899463483,ANGO US,27/Sep/2018,1,0.003979058276985521,-0.008633547318649652
"('MOV US', '29/Aug/2018', None, None)",0.006793562583742752,MOV US,29/Aug/2018,22,0.002520169326467864,0.026078854172616697
"('BHE US', '25/Jul/2018', None, None)",0.006852520425377762,BHE US,25/Jul/2018,40,0.00408220774686585,-0.051198924857944576
"('AKS US', '31/Jul/2018', None, None)",0.008550371783407229,AKS US,31/Jul/2018,40,0.002059598856469531,-0.02884407096171805
"('ATU US', '26/Sep/2018', None, None)",0.009570407281535687,ATU US,26/Sep/2018,2,0.005002092009395323,-0.08108108108108107
"('SPTN US', '16/Aug/2018', None, None)",0.010334001690738281,SPTN US,16/Aug/2018,31,0.0035031752658996433,-0.10394209293290528
"('EIGI US', '26/Jul/2018', None, None)",0.012729602652121752,EIGI US,26/Jul/2018,40,0.003014487352894356,-2.2
"('ATSG US', '07/Aug/2018', None, None)",0.016365739605292084,ATSG US,07/Aug/2018,38,0.0024384271906384976,0.0028287516853123546
"('CPK US', '09/Aug/2018', None, None)",0.018460729765910067,CPK US,09/Aug/2018,36,0.004840514199783025,-0.005248482860423163
"('PETS US', '23/Jul/2018', None, None)",0.018732065457311098,PETS US,23/Jul/2018,40,0.0016487943355351544,-0.02578440274414854
"('FSCT US', '10/Aug/2018', None, None)",0.020752819351063767,FSCT US,10/Aug/2018,35,0.002116477530989624,0.09117667346128136
"('NPO US', '02/Aug/2018', None, None)",0.021251608431155145,NPO US,02/Aug/2018,40,0.003738582537512611,-0.02611586146890912
"('CEVA US', '07/Aug/2018', None, None)",0.022222319930744083,CEVA US,07/Aug/2018,38,0.003035529026542163,-0.3175585284280936
"('HAFC US', '25/Jul/2018', None, None)",0.023648462560690753,HAFC US,25/Jul/2018,40,0.005188840266673507,-0.06373808591000085
"('QNST US', '07/Aug/2018', None, None)",0.025425228956364787,QNST US,07/Aug/2018,38,0.0017532278237119643,0.11764705882352935
"('HCC US', '02/Aug/2018', None, None)",0.025536637597893153,HCC US,02/Aug/2018,40,0.0018995422291388144,-0.019478456909073974
"('CRK US', '08/Aug/2018', None, None)",0.027419448541694313,CRK US,08/Aug/2018,37,0.0016267867309002414,-0.5909013711113873
"('AIR US', '11/Jul/2018', '26/Sep/2018', None)",0.02883613280105579,AIR US,11/Jul/2018,40,0.003931029746192149,-0.000739371534196016
"('CORT US', '10/Aug/2018', None, None)",0.028939894880240402,CORT US,10/Aug/2018,35,0.002120406354233473,-0.2234818446158653
"('TILE US', '26/Jul/2018', None, None)",0.030557396222495647,TILE US,26/Jul/2018,40,0.003976164718507344,0.01972310111066805
"('ITG US', '08/Aug/2018', None, None)",0.03064712614008669,ITG US,08/Aug/2018,37,0.005113913294355272,0.007752360203340525
"('LC US', '08/Aug/2018', None, None)",0.03337878201996336,LC US,08/Aug/2018,37,0.0017849093253731146,0.023324607329842952
"('HCG CN', '14/Aug/2018', None, None)",0.03534686297201195,HCG CN,14/Aug/2018,33,0.004729916784288581,-0.09613795324686183
"('ASTE US', '24/Jul/2018', None, None)",0.03640891562064397,ASTE US,24/Jul/2018,40,0.004525985884403222,-0.05492429994280107
"('CLNE US', '08/Aug/2018', None, None)",0.036622522785012324,CLNE US,08/Aug/2018,37,0.0011664738759008958,-0.11302681992337166
"('APLS US', '01/Aug/2018', None, None)",0.03899889260121103,APLS US,01/Aug/2018,40,0.0015580313729049303,-0.09344135359908222
"('TBK US', '19/Jul/2018', None, None)",0.03905656147047365,TBK US,19/Jul/2018,40,0.004659680411161816,-0.01744229562196792
"('SYNA US', '10/Aug/2018', None, None)",0.039385794968723964,SYNA US,10/Aug/2018,35,0.0024882668481897934,-0.02150991142977653
"('ADUS US', '07/Aug/2018', None, None)",0.04226043131463286,ADUS US,07/Aug/2018,38,0.0025452394162085697,-0.11816261617215848
"('MTSC US', '07/Aug/2018', None, None)",0.05364473988740004,MTSC US,07/Aug/2018,38,0.004502211004890366,-0.1145775026386069
"('ENSG US', '03/Aug/2018', None, None)",0.055906938632861,ENSG US,03/Aug/2018,40,0.003027601994306674,0.0006966978430997719
"('XENT US', '01/Aug/2018', None, None)",0.057225755861087135,XENT US,01/Aug/2018,40,0.002371349474821661,-0.9840430739109153
"('LNTH US', '02/Aug/2018', None, None)",0.05801894400145269,LNTH US,02/Aug/2018,40,0.0016559603869020477,-0.017894181856104974
"('CNSL US', '02/Aug/2018', None, None)",0.0607775873938563,CNSL US,02/Aug/2018,40,0.002581247746906312,-0.14542061441286247
"('MGPI US', '02/Aug/2018', None, None)",0.06412327849429889,MGPI US,02/Aug/2018,40,0.002520568636414468,0.0012315270935960327
"('OMI US', '07/Aug/2018', None, None)",0.06676521009453196,OMI US,07/Aug/2018,38,0.0032955824618310496,-0.2737266842865297
"('WJA CN', '31/Jul/2018', None, None)",0.06777107100986401,WJA CN,31/Jul/2018,40,0.0025084719068537258,-0.288992570703352
"('SPN US', '25/Jul/2018', None, None)",0.07484774279416517,SPN US,25/Jul/2018,40,0.002125590195554402,-0.03651150459661093
"('MINI US', '26/Jul/2018', None, None)",0.07722208482084825,MINI US,26/Jul/2018,40,0.004120602553435531,-0.008403121105997627
"('RCH CN', '05/Jul/2018', None, None)",0.07831843390932858,RCH CN,05/Jul/2018,40,0.005090045367044463,-0.019419115163795953
"('NSIT US', '01/Aug/2018', None, None)",0.07980178799766735,NSIT US,01/Aug/2018,40,0.0040532136230798065,0.03870813693324014
"('VYGR US', '08/Aug/2018', None, None)",0.08464725013700547,VYGR US,08/Aug/2018,37,0.0013138585825274948,-0.056065035646509706
"('OFIX US', '07/Aug/2018', None, None)",0.09029839239257997,OFIX US,07/Aug/2018,38,0.004261778649477719,-0.008799082075334185
"('SNHY US', '07/Aug/2018', None, None)",0.09567583829565662,SNHY US,07/Aug/2018,38,0.003054618775080639,-0.0364281990109491
"('VCRA US', '27/Jul/2018', None, None)",0.09668425925169455,VCRA US,27/Jul/2018,40,0.0030702577706198633,-0.11570995959217859
"('DOMO US', '07/Sep/2018', None, None)",0.09829405816552139,DOMO US,07/Sep/2018,15,0.0013590931324852222,0.02170690020716116
"('HSKA US', '07/Aug/2018', None, None)",0.10073022880014504,HSKA US,07/Aug/2018,38,0.0027180134593604195,-0.011665544080227502
"('IMAX US', '26/Jul/2018', None, None)",0.10107559072862204,IMAX US,26/Jul/2018,40,0.003107726686483942,0.03888285508911663
"('MSTR US', '27/Jul/2018', None, None)",0.10350183984142158,MSTR US,27/Jul/2018,40,0.0041122254174468555,0.20951288744709434
"('CWH US', '08/Aug/2018', None, None)",0.10591205736453602,CWH US,08/Aug/2018,37,0.001784735303166688,-0.1462564022359749
"('HSTM US', '24/Jul/2018', None, None)",0.10899545028354396,HSTM US,24/Jul/2018,40,0.0027615154159294983,0.07180533692174891
"('GPRK US', '09/Aug/2018', None, None)",0.10911767351368029,GPRK US,09/Aug/2018,36,0.002709694629092392,-0.0044452723275473435
"('CMTL US', '27/Sep/2018', None, None)",0.10935079979969187,CMTL US,27/Sep/2018,1,0.003405312971896594,0.27176781002638517
"('ECOL US', '03/Aug/2018', None, None)",0.11532372550217973,ECOL US,03/Aug/2018,40,0.004359778323968909,0.007672956650498548
"('CNNE US', '13/Aug/2018', None, None)",0.11759831276023291,CNNE US,13/Aug/2018,34,0.004086539072404685,0.49605263157894736
"('MB US', '01/Aug/2018', None, None)",0.11949082281620349,MB US,01/Aug/2018,40,0.0020152632723615294,0.5304391217564871
"('LXFT US', '15/Aug/2018', None, None)",0.11965913228656588,LXFT US,15/Aug/2018,32,0.0026572713884887742,0.02843036684344319
"('SMP US', '26/Jul/2018', None, None)",0.12087071382847214,SMP US,26/Jul/2018,40,0.003510466813460328,-0.052078527373943695
"('REVG US', '06/Sep/2018', None, None)",0.12209304898854856,REVG US,06/Sep/2018,16,0.00245156701156615,-0.12166063873385459
"('WRLD US', '26/Jul/2018', None, None)",0.12380600259939856,WRLD US,26/Jul/2018,40,0.0023071837493566626,-0.15925994992265544
"('POU CN', '08/Aug/2018', None, None)",0.1319343031437903,POU CN,08/Aug/2018,37,0.0021652693009426493,-0.23647936753380622
"('BOLD US', '07/Aug/2018', None, None)",0.1337697201121475,BOLD US,07/Aug/2018,38,0.001942909517958526,-0.045154005454958346
"('CRCM US', '30/Jul/2018', None, None)",0.15198650400819402,CRCM US,30/Jul/2018,40,0.0026052203474369985,0.01079099214617728
"('KTOS US', '03/Aug/2018', None, None)",0.16101283729028304,KTOS US,03/Aug/2018,40,0.0031267099491535796,0.0404487568223165
"('EVOP US', '08/Aug/2018', None, None)",0.16108058021241445,EVOP US,08/Aug/2018,37,0.002118237202939343,-0.07340481908692177
"('GLT US', '31/Jul/2018', None, None)",0.16201261523720278,GLT US,31/Jul/2018,40,0.0030231821303931742,-0.20152922669316117
"('ANGO US', '11/Jul/2018', '27/Sep/2018', '27/Sep/2018')",0.16360219476053328,ANGO US,11/Jul/2018,40,0.0037499937807414004,-0.06571741511500553
"('TXMD US', '30/Jul/2018', None, None)",0.1664917630906777,TXMD US,30/Jul/2018,40,0.002024327123030476,-0.6735703441295547
"('QUOT US', '01/Aug/2018', None, None)",0.17442887053854683,QUOT US,01/Aug/2018,40,0.004105773873719591,-0.37971154067956914
"('FLOW US', '01/Aug/2018', None, None)",0.17713531567513097,FLOW US,01/Aug/2018,40,0.0027647835359492674,0.004310631678037842
"('CGX CN', '10/Aug/2018', None, None)",0.17987887790149681,CGX CN,10/Aug/2018,35,0.0031191786846228894,0.08467086642928875
"('CASA US', '15/Aug/2018', None, None)",0.18213451665681157,CASA US,15/Aug/2018,32,0.0015865024115357515,-0.3048814664781341
"('XON US', '13/Aug/2018', None, None)",0.1832125269732665,XON US,13/Aug/2018,34,0.0017399013372264866,0.0016185339593620396
"('LMNX US', '07/Aug/2018', None, None)",0.19219475735642266,LMNX US,07/Aug/2018,38,0.0025117743445023056,-0.3617106244009798
"('TRXC US', '07/Aug/2018', None, None)",0.19486144334183986,TRXC US,07/Aug/2018,38,0.0009131346041437116,-0.2869853240929474
"('XOXO US', '31/Jul/2018', None, None)",0.19629375551985162,XOXO US,31/Jul/2018,40,0.0030982123967670263,0.0277777777777778
"('SNBR US', '26/Jul/2018', None, None)",0.21561099032191278,SNBR US,26/Jul/2018,40,0.002935599511324229,-0.00642411213997242
"('SUPV US', '24/Aug/2018', None, None)",0.2374356277245513,SUPV US,24/Aug/2018,25,0.0013205592125440277,-0.5693887761723901
"('SBH US', '02/Aug/2018', None, None)",0.2419477684873923,SBH US,02/Aug/2018,40,0.00287657807374152,-0.07289343481447136
"('ELF US', '09/Aug/2018', None, None)",0.2655821175872539,ELF US,09/Aug/2018,36,0.002162438372853643,-0.1000215288486571
"('TELL US', '08/Aug/2018', None, None)",0.2724880454387919,TELL US,08/Aug/2018,37,0.0022096591199708224,0.050096066907775835
"('SMCI US', '22/Aug/2018', None, None)",0.2931456314011034,SMCI US,22/Aug/2018,27,0.0027105336195653714,0.007895775759968424
"('NCMI US', '07/Aug/2018', None, None)",0.29735834650683457,NCMI US,07/Aug/2018,38,0.0036847467402040335,-0.009278468179956624
"('RDC US', '01/Aug/2018', None, None)",0.30636704228992206,RDC US,01/Aug/2018,40,0.0016634206962452959,0.0628449027011328
"('OMER US', '10/Aug/2018', None, None)",0.3397942834580443,OMER US,10/Aug/2018,35,0.0017334803917342452,-0.06572055411334968
"('TSRO US', '03/Aug/2018', None, None)",0.41088850923367604,TSRO US,03/Aug/2018,40,0.001348095482837845,-0.1317522168087161
"('CBB US', '08/Aug/2018', None, None)",0.5732174626987787,CBB US,08/Aug/2018,37,0.0015814599329293493,-0.28556547619047623
"('GKOS US', '03/Aug/2018', None, None)",0.6088942399613304,GKOS US,03/Aug/2018,40,0.0016946332010874042,-0.7300953763217914
"('APH CN', '01/Aug/2018', None, None)",0.7384010720622873,APH CN,01/Aug/2018,40,0.0013267167922548584,-0.22222222222222215
